,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Windspeed,Country,Date
351,kaspiyskiy,45.3929,47.3707,56.75,54,84,14.61,RU,1650024399
352,naryan-mar,67.6713,53.087,26.73,81,79,12.8,RU,1650024400
353,sabang,5.8933,95.3214,84.72,69,82,6.22,ID,1650024400
354,nisia floresta,-6.0911,-35.2086,86.81,70,99,4.32,BR,1650024400
355,hualmay,-11.0964,-77.6139,65.25,87,23,9.51,PE,1650024400
356,havoysund,70.9963,24.6622,37.63,95,100,16.62,NO,1650024401
357,denia,38.8408,0.1057,73.74,52,61,10.0,ES,1650024401
358,murmashi,68.8154,32.8115,34.21,64,75,11.18,RU,1650024401
359,cayenne,4.9333,-52.3333,79.09,1,75,5.75,GF,1650024401
360,manhush,47.0558,37.3107,53.11,78,76,10.45,UA,1650024402
361,bambous virieux,-20.3428,57.7575,82.22,74,40,12.66,MU,1650024402
362,aldan,58.6031,125.3894,24.58,88,100,11.07,RU,1650024402
363,terrace,54.5163,-128.6035,31.33,77,98,2.66,CA,1650024403
364,urucui,-7.2294,-44.5561,83.5,69,38,2.59,BR,1650024403
365,neuquen,-38.9516,-68.0591,56.77,45,0,2.93,AR,1650024256
366,badvel,14.75,79.05,98.69,20,60,12.44,IN,1650024404
367,cabedelo,-6.9811,-34.8339,86.67,71,96,6.64,BR,1650024405
